phase,task,workers,connections,run,requests_per_sec,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,total_requests,socket_errors_connect,socket_errors_read,socket_errors_write,socket_errors_timeout,non_2xx_responses
main,cpu,24,8,3,169.24,47.54,20.59,145.12,43.05,59.78,74.74,111.57,10168,0,0,0,0,0
main,cpu,24,8,4,170.58,47.19,20.53,145.81,42.25,59.36,74.31,111.07,10248,0,0,0,0,0
main,cpu,24,8,5,168.86,47.66,20.83,153.2,43.3,60.12,75.24,110.38,10139,0,0,0,0,0
main,cpu,24,64,1,212.02,300.87,21.26,399.1,297.89,304.95,314.66,370.66,12741,0,0,0,0,0
main,cpu,24,64,2,211.96,300.81,21.89,392.42,298.13,306.09,316.76,371.55,12735,0,0,0,0,0
main,cpu,24,64,3,212.16,300.81,21.79,391.13,298.19,306.74,317.73,369.63,12738,0,0,0,0,0
main,cpu,24,64,4,211.99,300.81,22.07,391.88,297.74,305.51,315.67,373.35,12742,0,0,0,0,0
main,cpu,24,64,5,212.16,300.81,21.53,391.33,298.46,306.49,316.24,368.73,12736,0,0,0,0,0
main,cpu,32,8,1,165.64,48.91,23.2,168.48,43.07,61.72,80.0,124.65,9950,0,0,0,0,0
main,cpu,32,8,2,164.33,49.12,22.97,159.67,44.29,62.72,80.93,116.22,9863,0,0,0,0,0
main,cpu,32,8,3,165.44,48.79,22.27,167.8,43.85,61.81,78.8,118.03,9933,0,0,0,0,0
main,cpu,32,8,4,163.3,49.57,23.53,194.35,44.54,62.92,81.03,124.02,9812,0,0,0,0,0
main,cpu,32,8,5,165.1,49.0,23.19,162.86,43.38,62.34,80.68,120.74,9914,0,0,0,0,0
main,cpu,32,64,1,212.02,300.86,27.61,439.23,294.42,302.28,316.25,399.34,12738,0,0,0,0,0
main,cpu,32,64,2,212.11,300.82,27.62,440.0,294.19,302.55,317.62,399.65,12745,0,0,0,0,0
main,cpu,32,64,3,212.02,300.86,28.04,456.57,294.1,302.62,317.52,402.03,12731,0,0,0,0,0
main,cpu,32,64,4,212.02,300.88,27.34,452.98,294.53,302.04,315.12,399.11,12727,0,0,0,0,0
main,cpu,32,64,5,212.09,300.82,27.27,429.59,294.36,302.32,315.83,397.11,12734,0,0,0,0,0
main,io,1,8,1,46.23,172.68,10.58,216.22,170.92,177.04,185.23,204.85,2778,0,0,0,0,0
main,io,1,8,2,48.39,164.8,7.66,200.9,163.32,167.49,174.71,186.79,2908,0,0,0,0,0
main,io,1,8,3,49.08,162.66,6.3,194.39,161.52,164.66,169.18,182.77,2949,0,0,0,0,0
main,io,1,8,4,45.58,175.17,12.96,230.04,172.31,181.97,192.75,213.01,2738,0,0,0,0,0
main,io,1,8,5,47.39,168.46,15.09,240.46,162.62,170.63,192.0,216.14,2848,0,0,0,0,0
main,io,1,64,1,48.35,1310.0,110.13,1460.0,1320.0,1330.0,1360.0,1440.0,2901,0,0,0,0,0
main,io,1,64,2,45.55,1390.0,121.08,1560.0,1390.0,1420.0,1460.0,1530.0,2737,0,0,0,0,0
main,io,1,64,3,47.8,1320.0,113.85,1450.0,1330.0,1350.0,1390.0,1440.0,2873,0,0,0,0,0
main,io,1,64,4,47.54,1330.0,114.02,1450.0,1340.0,1360.0,1390.0,1430.0,2857,0,0,0,0,0
main,io,1,64,5,45.87,1380.0,122.96,1560.0,1380.0,1420.0,1450.0,1540.0,2756,0,0,0,0,0
main,io,2,8,1,85.26,93.65,6.39,135.27,92.4,96.07,101.88,116.21,5124,0,0,0,0,0
main,io,2,8,2,73.09,109.29,22.42,208.51,101.46,121.89,141.89,177.11,4392,0,0,0,0,0
main,io,2,8,3,81.77,97.58,14.05,168.92,92.97,100.97,117.41,148.23,4912,0,0,0,0,0
